network,station,latitude,longitude,elevation_m,basin_name,huc_code,huc_name,start_date,end_date
CC,AHAB,46.19479,-122.187027,2298.0,Cowlitz,17080005,Lower Cowlitz,2005-02-08T00:00:00.000000Z,2005-02-17T00:00:00.000000Z
CC,ARAT,46.789,-121.853,1822.44,Nisqually,17110015,Nisqually,2020-08-06T00:00:00.000000Z,
CC,ASCR,46.13557,-121.49901,1692.68,,,,2024-09-30T00:00:00.000000Z,2024-12-22T00:00:00.000000Z
CC,ATOM,46.027422,-121.274334,581.04,,,,2024-10-09T00:00:00.000000Z,2025-04-26T00:00:00.000000Z
CC,AWST,46.14465,-121.77136,1159.0,,,,2017-10-18T00:00:00.000000Z,2020-01-01T00:00:00.000000Z
CC,BLIS,46.197472,-122.186569,2116.0,Cowlitz,17080005,Lower Cowlitz,2004-10-12T00:00:00.000000Z,2005-02-17T00:00:00.000000Z
CC,CARB,46.98832,-122.00541,872.47,Puyallup,17110014,Puyallup,2018-10-16T00:00:00.000000Z,
CC,CC,45.61092,-122.49613,66.66,,,,2019-01-01T00:00:00.000000Z,
CC,COPP,46.79798,-121.82875,1895.0,Nisqually,17110015,Nisqually,2022-09-20T11:00:00.000000Z,
CC,CRBN,46.988155,-121.961026,500.08,Puyallup,17110014,Puyallup,2020-10-22T00:00:00.000000Z,
CC,CRYS,46.93441,-121.50026,2027.15,Puyallup,17110014,Puyallup,2025-09-11T00:00:00.000000Z,
CC,EDOM,46.1974,-122.1521,2033.89,,,,2021-06-08T00:00:00.000000Z,
CC,ELBE,46.76645,-122.19329,386.0,Nisqually,17110015,Nisqually,2023-08-23T00:00:00.000000Z,
CC,FLAT,46.18951,-122.35646,0.0,Cowlitz,17080005,Lower Cowlitz,2023-06-28T00:00:00.000000Z,
CC,GNOB,46.79414,-121.91438,1659.36,Puyallup,17110014,Puyallup,2022-10-18T13:21:00.000000Z,
CC,GOBB,46.79414,-121.91438,1659.36,Puyallup,17110014,Puyallup,2022-09-07T00:00:00.000000Z,
CC,GRWR,47.11343,-121.61437,589.68,Puyallup,17110014,Puyallup,2025-09-08T00:00:00.000000Z,
CC,GTWY,46.740208,-121.916966,617.235,Nisqually,17110015,Nisqually,2020-10-28T20:00:00.000000Z,
CC,GUAC,46.2192,-122.19233,1618.3,Cowlitz,17080005,Lower Cowlitz,2018-11-19T00:00:00.000000Z,
CC,HOA,46.24178,-122.19183,1151.0,Cowlitz,17080005,Lower Cowlitz,2021-06-08T00:00:00.000000Z,
CC,HORC,46.057765,-121.539055,830.1,,,,2024-10-09T00:00:00.000000Z,
CC,HUT1,45.61126,-122.49676,86.0,,,,2023-02-10T00:00:00.000000Z,
CC,JRO,46.27527,-122.21826,1219.0,Cowlitz,17080005,Lower Cowlitz,2004-10-02T00:00:00.000000Z,
CC,KAUT,46.730263,-121.857381,689.0,Nisqually,17110015,Nisqually,2020-09-02T00:00:00.000000Z,
CC,KAVK,46.76041,-122.03856,532.0,Nisqually,17110015,Nisqually,2023-08-22T00:00:00.000000Z,
CC,LONE,47.00989,-121.67369,1639.53,Puyallup,17110014,Puyallup,2025-09-08T00:00:00.000000Z,
CC,LONR,47.00989,-121.67369,1639.53,Puyallup,17110014,Puyallup,2025-10-02T16:30:00.000000Z,
